COL1,LOC2014
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/util/xml/StaxEventXMLReader.java,240
/mnt/dados/projetopydriller/spring-framework/spring-expression/src/test/java/org/springframework/expression/spel/LiteralExpressionTests.java,65
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/PostgresTableMetaDataProvider.java,19
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/test/java/org/springframework/dao/annotation/PersistenceExceptionTranslationPostProcessorTests.java,69
/mnt/dados/projetopydriller/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/simp/annotation/support/SendToMethodReturnValueHandler.java,102
/mnt/dados/projetopydriller/spring-framework/spring-aop/src/test/java/org/springframework/aop/framework/ClassWithConstructor.java,6
/mnt/dados/projetopydriller/spring-framework/spring-orm-hibernate4/src/main/java/org/springframework/orm/hibernate4/HibernateObjectRetrievalFailureException.java,8
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/config/FieldRetrievingFactoryBean.java,80
/mnt/dados/projetopydriller/spring-framework/spring-messaging/src/test/java/org/springframework/messaging/support/ExecutorSubscribableChannelTests.java,152
/mnt/dados/projetopydriller/spring-framework/spring-aop/src/main/java/org/springframework/aop/framework/ProxyCreatorSupport.java,52
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/test/java/org/springframework/beans/factory/config/TestTypes.java,16
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/asm/TypeReference.java,80
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/aop/framework/CglibProxyTests.java,319
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/support/AbstractAutowireCapableBeanFactory.java,949
/mnt/dados/projetopydriller/spring-framework/spring-web/src/test/java/org/springframework/web/bind/ServletRequestDataBinderTests.java,167
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/propertyeditors/InputStreamEditor.java,23
/mnt/dados/projetopydriller/spring-framework/spring-context-support/src/main/java/org/springframework/cache/transaction/AbstractTransactionSupportingCacheManager.java,12
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/web/servlet/samples/context/JavaConfigTests.java,43
/mnt/dados/projetopydriller/spring-framework/spring-webmvc-portlet/src/test/java/org/springframework/context/BeanThatListens.java,25
/mnt/dados/projetopydriller/spring-framework/spring-context-support/src/main/java/org/springframework/scheduling/quartz/JobDetailFactoryBean.java,81
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/jndi/JndiObjectTargetSource.java,58
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/main/java/org/springframework/web/servlet/resource/ResourceUrlProvider.java,101
/mnt/dados/projetopydriller/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/config/annotation/DelegatingWebSocketConfiguration.java,13
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/ImportAwareTests.java,134
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/support/AbstractBeanDefinition.java,458
/mnt/dados/projetopydriller/spring-framework/spring-tx/src/main/java/org/springframework/jca/work/WorkManagerTaskExecutor.java,130
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/BeanInitializationException.java,8
/mnt/dados/projetopydriller/spring-framework/spring-aop/src/test/java/org/springframework/aop/interceptor/JamonPerformanceMonitorInterceptorTests.java,31
/mnt/dados/projetopydriller/spring-framework/spring-test/src/main/java/org/springframework/test/annotation/ProfileValueUtils.java,72
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/validation/beanvalidation/LocalValidatorFactoryBean.java,163
/mnt/dados/projetopydriller/spring-framework/spring-orm/src/main/java/org/springframework/orm/hibernate3/SpringSessionContext.java,14
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/spr8761/Spr8761Tests.java,3
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/main/java/org/springframework/beans/factory/support/MethodOverride.java,40
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/env/MergedPropertiesFilesOverriddenByInlinedPropertiesTestPropertySourceTests.java,8
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/test/java/org/springframework/beans/factory/xml/AbstractListableBeanFactoryTests.java,35
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/configuration/BeanAnnotationAttributePropagationTests.java,89
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/web/client/match/XpathRequestMatchersTests.java,50
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/env/CommandLineArgs.java,27
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/jmx/export/assembler/AbstractReflectiveMBeanInfoAssembler.java,191
/mnt/dados/projetopydriller/spring-framework/spring-beans/src/test/java/org/springframework/tests/sample/beans/factory/DummyFactory.java,84
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/cache/config/AnnotationNamespaceDrivenTests.java,25
/mnt/dados/projetopydriller/spring-framework/spring-core/src/main/java/org/springframework/core/convert/support/StringToUUIDConverter.java,8
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/ConfigurationClassPostConstructAndAutowiringTests.java,40
/mnt/dados/projetopydriller/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/client/standard/WebSocketContainerFactoryBean.java,36
/mnt/dados/projetopydriller/spring-framework/spring-websocket/src/main/java/org/springframework/web/socket/sockjs/frame/SockJsFrame.java,90
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/spr8808/Spr8808Tests.java,2
/mnt/dados/projetopydriller/spring-framework/spring-webmvc/src/test/java/org/springframework/web/servlet/mvc/annotation/ServletAnnotationMappingUtilsTests.java,123
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/web/servlet/samples/standalone/FilterTests.java,62
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/web/multipart/support/StandardServletMultipartResolver.java,28
/mnt/dados/projetopydriller/spring-framework/spring-context/src/main/java/org/springframework/context/support/SimpleThreadScope.java,31
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/scheduling/annotation/EnableSchedulingTests.java,299
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/jdbc/MultipleDataSourcesAndTransactionManagersTransactionalSqlScriptsTests.java,31
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/support/incrementer/AbstractIdentityColumnMaxValueIncrementer.java,68
/mnt/dados/projetopydriller/spring-framework/spring-test/src/main/java/org/springframework/test/context/support/DependencyInjectionTestExecutionListener.java,28
/mnt/dados/projetopydriller/spring-framework/spring-messaging/src/main/java/org/springframework/messaging/handler/annotation/support/MethodArgumentTypeMismatchException.java,5
/mnt/dados/projetopydriller/spring-framework/spring-test/src/main/java/org/springframework/test/context/support/TestPropertySourceAttributes.java,68
/mnt/dados/projetopydriller/spring-framework/spring-test/src/test/java/org/springframework/test/context/jdbc/NonTransactionalSqlScriptsTests.java,15
/mnt/dados/projetopydriller/spring-framework/spring-aop/src/test/java/org/springframework/aop/interceptor/SimpleTraceInterceptorTests.java,28
/mnt/dados/projetopydriller/spring-framework/spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/GenericCallMetaDataProvider.java,237
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/web/context/support/AbstractRefreshableWebApplicationContext.java,67
/mnt/dados/projetopydriller/spring-framework/spring-context/src/test/java/org/springframework/context/annotation/configuration/ConfigurationMetaAnnotationTests.java,23
/mnt/dados/projetopydriller/spring-framework/spring-core/src/test/java/org/springframework/util/SerializationTestUtils.java,28
/mnt/dados/projetopydriller/spring-framework/spring-web/src/main/java/org/springframework/web/util/WebAppRootListener.java,8
